Unnamed: 0,SMS,Result,MLP,MLP_tuned,NaiveBayes,TensorFlow,TinyBert
3722,Blank is Blank. But wat is blank? Lol,ham,ham,ham,ham,ham,ham
3064,"Hi babe its Jordan, how r u? Im home from abroad and lonely, text me back if u wanna chat xxSP visionsms.com Text stop to stopCost 150p 08712400603",spam,spam,spam,spam,spam,spam
472,"How long has it been since you screamed, princess?",ham,ham,ham,ham,ham,ham
4829,Lol no. Just trying to make your day a little more interesting,ham,ham,ham,ham,ham,ham
5371,"Lol, oh you got a friend for the dog ?",ham,ham,ham,ham,ham,ham
3961,I sent lanre fakeye's Eckankar details to the mail box,ham,ham,ham,ham,ham,ham
1831,That's the way you should stay oh.,ham,ham,ham,spam,ham,ham
2158,"Sad story of a Man - Last week was my b'day. My Wife did'nt wish me. My Parents forgot n so did my Kids . I went to work. Even my Colleagues did not wish. As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there. She said,'' do u mind if I go into the bedroom for a minute ? '' ''OK'', I sed in a sexy mood. She came out 5 minuts latr wid a cake...n My Wife, My Parents, My Kidz, My Friends n My Colleagues. All screaming.. SURPRISE !! and I was waiting on the sofa.. ... ..... ' NAKED...!",ham,ham,ham,ham,ham,ham
2987,Reply to win £100 weekly! What professional sport does Tiger Woods play? Send STOP to 87239 to end service,spam,spam,spam,spam,spam,spam
1540,You're not sure that I'm not trying to make xavier smoke because I don't want to smoke after being told I smoke too much?,ham,ham,ham,ham,ham,ham
4681,"That's cool he'll be here all night, lemme know when you're around",ham,ham,ham,ham,ham,ham
2332,At home by the way,ham,ham,ham,spam,ham,ham
4527,"I want some cock! My hubby's away, I need a real man 2 satisfy me. Txt WIFE to 89938 for no strings action. (Txt STOP 2 end, txt rec £1.50ea. OTBox 731 LA1 7WS. )",spam,spam,spam,ham,spam,spam
4137,have you ever had one foot before?,ham,ham,ham,spam,ham,ham
774,I wil be there with in  &lt;#&gt;  minutes. Got any space,ham,ham,ham,ham,ham,ham
5098,"TheMob>Hit the link to get a premium Pink Panther game, the new no. 1 from Sugababes, a crazy Zebra animation or a badass Hoody wallpaper-all 4 FREE!",spam,spam,spam,spam,spam,spam
2,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,spam,spam,spam,spam,spam,spam
1121,Cancel cheyyamo?and get some money back?,ham,ham,ham,spam,ham,ham
3976,do u think that any girl will propose u today by seing ur bloody funky shit fucking face...............asssssholeeee................,ham,ham,ham,ham,ham,ham
1524,Yup ok thanx...,ham,ham,ham,ham,ham,ham
3278,Its a great day. Do have yourself a beautiful one.,ham,ham,ham,ham,ham,ham
4329,"Congrats! 2 mobile 3G Videophones R yours. call 09061744553 now! videochat wid ur mates, play java games, Dload polyH music, noline rentl. bx420. ip4. 5we. 150pm",spam,spam,spam,spam,spam,spam
1114,"No I'm good for the movie, is it ok if I leave in an hourish?",ham,ham,ham,spam,ham,ham
3360,Sorry I missed your call let's talk when you have the time. I'm on 07090201529,spam,ham,ham,spam,ham,spam
4458,Aight should I just plan to come up later tonight?,ham,ham,ham,ham,ham,ham
3269,Which is why i never wanted to tell you any of this. Which is why i'm so short with you and on-edge as of late.,ham,ham,ham,ham,ham,ham
3140,Is ur lecture over?,ham,ham,ham,ham,ham,ham
3982,Huh i cant thk of more oredi how many pages do we have?,ham,ham,ham,ham,ham,ham
1088,You can never do NOTHING,ham,ham,ham,spam,ham,ham
2673,Super msg da:)nalla timing.,ham,ham,ham,ham,ham,ham
4733,Wat time r ü going to xin's hostel?,ham,ham,ham,ham,ham,ham
3059,You are now unsubscribed all services. Get tons of sexy babes or hunks straight to your phone! go to http://gotbabes.co.uk. No subscriptions.,spam,spam,spam,ham,spam,spam
3526,I not free today i haf 2 pick my parents up tonite...,ham,ham,ham,ham,ham,ham
